Date,Open,High,Low,Close,Volume,Adj Close
8/5/2015,115.510002,115.510002,115.089996,115.25,2991500,115.25
8/4/2015,115.989998,116.050003,115.639999,115.699997,3823200,115.699997
8/3/2015,115.860001,116.379997,115.830002,116.290001,2942800,116.290001
7/31/2015,116.110001,116.410004,116.099998,116.349998,3626900,116.019996
7/30/2015,115.769997,115.919998,115.599998,115.75,2157600,115.4217
7/29/2015,115.730003,115.809998,115.519997,115.690002,1569200,115.361872
7/28/2015,115.629997,115.82,115.5,115.790001,2755100,115.461587
7/27/2015,115.93,116.18,115.809998,115.879997,4836700,115.551328
7/24/2015,116.110001,116.110001,115.669998,115.839996,2704700,115.511441
7/23/2015,115.529999,116.019997,115.400002,115.919998,2007500,115.591216
7/22/2015,115.410004,115.75,115.339996,115.580002,1292900,115.252184
7/21/2015,115.010002,115.480003,115,115.43,2490700,115.102608
7/20/2015,115.25,115.449997,115.150002,115.190002,2805700,114.863291
7/17/2015,115.389999,115.620003,115.389999,115.459999,2268200,115.132521
7/16/2015,115.029999,115.459999,114.919998,115.379997,2036600,115.052746
7/15/2015,114.860001,115.370003,114.769997,115.199997,1923800,114.873257
7/14/2015,114.870003,115,114.660004,114.900002,4364200,114.574112
7/13/2015,114.580002,115.080002,114.580002,114.800003,3146100,114.474397
7/10/2015,115.150002,115.360001,114.809998,115.050003,2740000,114.723688
7/9/2015,116.160004,116.199997,115.720001,115.790001,1427800,115.461587
7/8/2015,116.510002,116.709999,116.230003,116.559998,3490600,116.2294
7/7/2015,116.650002,116.860001,116.260002,116.400002,3627500,116.069858
7/6/2015,115.879997,116.07,115.589996,115.919998,4844900,115.591216
7/2/2015,115.300003,115.660004,115.279999,115.459999,1971000,115.132521
7/1/2015,115.029999,115.290001,115.019997,115.019997,4088700,114.693767
6/30/2015,115.669998,116.18,115.599998,115.720001,2668600,115.062723
6/29/2015,115.220001,116.089996,115.150002,115.940002,5945700,115.281474
6/26/2015,115.019997,115.129997,114.730003,114.940002,2284900,114.287154
6/25/2015,115.480003,115.639999,115.260002,115.470001,2567500,114.814143
6/24/2015,115.440002,115.720001,115.300003,115.650002,2540000,114.99312
6/23/2015,115.089996,115.639999,115.089996,115.339996,1238700,114.684876
6/22/2015,116.089996,116.25,115.540001,115.599998,2547700,114.943401
6/19/2015,116.230003,116.620003,116.059998,116.480003,5114500,115.818408
6/18/2015,115.849998,116,115.529999,115.900002,1853100,115.2417
6/17/2015,116.040001,116.199997,115.470001,116.110001,3824200,115.450507
6/16/2015,115.959999,116.120003,115.660004,116.120003,2274100,115.460452
6/15/2015,116.199997,116.25,115.68,115.830002,1827600,115.172098
6/12/2015,115.760002,116.330002,115.730003,115.849998,2437900,115.191981
6/11/2015,115.540001,116.07,115.290001,116.050003,2562600,115.39085
6/10/2015,115.18,115.279999,114.93,115.029999,1959600,114.376639
6/9/2015,115.669998,115.669998,115.239998,115.339996,6152300,114.684876
6/8/2015,116.080002,116.199997,115.860001,115.860001,2131100,115.201927
6/5/2015,115.910004,116.209999,115.5,115.940002,5548000,115.281474
6/4/2015,116.120003,116.669998,116.120003,116.529999,2849100,115.868119
6/3/2015,116.440002,116.440002,115.709999,115.93,3307900,115.271529
6/2/2015,116.870003,116.989998,116.589996,116.68,7084900,116.017269
6/1/2015,117.860001,117.989998,117.220001,117.279999,5315800,116.613859
5/29/2015,118.5,118.57,118.129997,118.269997,2845800,117.271105
5/28/2015,118.43,118.489998,118.190002,118.220001,2901000,117.221532
5/27/2015,118.360001,118.550003,118.089996,118.470001,2282600,117.46942
5/26/2015,117.860001,118.410004,117.809998,118.349998,2232200,117.350431
5/22/2015,117.82,117.849998,117.510002,117.830002,2858500,116.834826
5/21/2015,117.550003,117.949997,117.419998,117.910004,1606900,116.914152
5/20/2015,117.379997,117.68,117.110001,117.349998,2626800,116.358877
5/19/2015,117.300003,117.800003,117.199997,117.209999,3562500,116.22006
5/18/2015,118.309998,118.480003,117.75,117.839996,2820500,116.844736
5/15/2015,118.209999,118.82,118.099998,118.75,1856500,117.747054
5/14/2015,117.75,118.139999,117.610001,117.93,3094300,116.93398
5/13/2015,118.209999,118.279999,117.489998,117.529999,3263600,116.537357
5/12/2015,117.449997,117.980003,117.199997,117.639999,3737200,116.646429
5/11/2015,118.610001,118.650002,117.690002,117.809998,3882700,116.814991
5/8/2015,119.089996,119.230003,118.830002,119.010002,5393700,118.00486
5/7/2015,118.010002,118.410004,117.860001,118.330002,3641200,117.330603
5/6/2015,118.300003,118.300003,117.68,117.860001,2105900,116.864572
5/5/2015,118.639999,118.690002,118.050003,118.370003,3307400,117.370266
5/4/2015,119.010002,119.160004,118.559998,118.57,2689600,117.568574
5/1/2015,119.220001,119.470001,118.800003,118.949997,3462200,117.945362
4/30/2015,119.660004,120.010002,119.169998,119.940002,5715900,118.59979
4/29/2015,120.010002,120.150002,119.599998,119.839996,3087100,118.500901
4/28/2015,121.220001,121.379997,120.760002,120.839996,1972500,119.489727
4/27/2015,121.650002,121.760002,121.32,121.559998,1564700,120.201683
4/24/2015,121.610001,121.830002,121.510002,121.650002,1690200,120.290682
4/23/2015,121.139999,121.589996,121.040001,121.419998,1962900,120.063248
4/22/2015,121.93,121.940002,121.089996,121.110001,2106000,119.756715
4/21/2015,121.93,122.099998,121.779999,121.900002,2441600,120.537888
4/20/2015,122.190002,122.349998,121.839996,121.93,1527200,120.567552
4/17/2015,121.82,122.349998,121.650002,122.220001,1625600,120.854312
4/16/2015,122.139999,122.139999,121.57,121.889999,1820400,120.527998
4/15/2015,122.150002,122.290001,121.959999,121.959999,1560900,120.597215
4/14/2015,122.050003,122.309998,121.849998,121.879997,2245000,120.518107
4/13/2015,121.650002,121.849998,121.540001,121.599998,1710100,120.241237
4/10/2015,121.470001,121.900002,121.470001,121.639999,1325000,120.280791
4/9/2015,122.07,122.07,121.360001,121.470001,1780600,120.112693
4/8/2015,122.129997,122.129997,121.699997,122.089996,3933500,120.72576
4/7/2015,121.599998,122.139999,121.480003,122.129997,2613500,120.765314
4/6/2015,122.010002,122.160004,121.400002,121.690002,3496000,120.330236
4/2/2015,121.940002,122.120003,121.5,121.529999,3013700,120.17202
4/1/2015,121.699997,122.169998,121.610001,121.730003,7393500,120.369789
3/31/2015,121.470001,121.760002,121.32,121.709999,1688300,120.024689
3/30/2015,121.419998,121.589996,121.279999,121.489998,981100,119.807734
3/27/2015,121.18,121.540001,121.029999,121.279999,1009700,119.600643
3/26/2015,121.269997,121.379997,120.720001,120.800003,2681800,119.127293
3/25/2015,122,122.300003,121.440002,121.550003,3205900,119.866908
3/24/2015,121.889999,122,121.699997,121.949997,2781900,120.261363
3/23/2015,121.57,121.830002,121.550003,121.769997,2946100,120.083856
3/20/2015,121.470001,121.709999,121.360001,121.489998,3669300,119.807734
3/19/2015,121.480003,121.610001,121.050003,121.150002,2503000,119.472445
3/18/2015,120.540001,121.889999,120.360001,121.769997,3382500,120.083856
3/17/2015,120.099998,120.370003,119.879997,120.290001,2528800,118.624353
3/16/2015,120.419998,120.419998,119.910004,120.089996,1588300,118.427118
3/13/2015,120,120.300003,119.900002,119.970001,1845300,118.308785
3/12/2015,120.629997,120.720001,120.080002,120.309998,2970700,118.644073
3/11/2015,120.07,120.440002,119.879997,120.43,1712200,118.762414
3/10/2015,120.019997,120.190002,119.790001,119.82,3356900,118.16086
3/9/2015,119.589996,119.68,119.379997,119.629997,6241000,117.973489
3/6/2015,119.699997,119.809998,119.110001,119.150002,3372700,117.500139
3/5/2015,120.5,120.580002,120.129997,120.43,1307600,118.762414
3/4/2015,120.660004,120.669998,120.199997,120.269997,2703200,118.604626
3/3/2015,120.5,120.769997,120.339996,120.349998,4737600,118.68352
3/2/2015,121.360001,121.360001,120.400002,120.419998,4540700,118.75255
2/27/2015,121.510002,121.860001,121.309998,121.800003,2892800,119.790971
2/26/2015,122,122.150002,121.440002,121.510002,1191100,119.505754
2/25/2015,121.919998,122.199997,121.739998,122.169998,2024500,120.154864
2/24/2015,121.059998,122.099998,120.800003,122.059998,1891900,120.046677
2/23/2015,121.150002,121.279999,121.059998,121.269997,2191400,119.269707
2/20/2015,121.019997,121.32,120.470001,120.860001,1621100,118.866474
2/19/2015,120.639999,121.080002,120.540001,120.68,2765500,118.689443
2/18/2015,120.339996,121,120.209999,120.699997,3221900,118.709109
2/17/2015,120.660004,120.779999,120.059998,120.269997,2970300,118.286202
2/13/2015,121.290001,121.360001,120.82,120.830002,2068700,118.83697
2/12/2015,121,121.440002,120.900002,121.309998,4045600,119.309048
2/11/2015,121.029999,121.050003,120.639999,121,2239400,119.004164
2/10/2015,121.230003,121.300003,120.889999,120.919998,2580300,118.925482
2/9/2015,121.559998,121.620003,121.110001,121.25,2426900,119.25004
2/6/2015,121.959999,122.089996,121.139999,121.169998,2578400,119.171358
2/5/2015,122.589996,122.690002,122.360001,122.449997,1789200,120.430244
2/4/2015,122.260002,122.870003,122.190002,122.839996,3209400,120.81381
2/3/2015,123.059998,123.190002,122.519997,122.669998,2828500,120.646616
2/2/2015,123.239998,123.720001,123.050003,123.669998,5684700,121.630122
1/30/2015,123.550003,123.900002,123.43,123.889999,3499000,121.517024
1/29/2015,122.860001,123.029999,122.690002,122.879997,1674500,120.526367
1/28/2015,122.389999,123.339996,122.370003,123.169998,1367900,120.810813
1/27/2015,122.68,122.830002,122.199997,122.339996,1267900,119.996709
1/26/2015,122.349998,122.470001,122,122.25,2347900,119.908437
1/23/2015,122.089996,122.410004,122.040001,122.279999,1436100,119.937861
1/22/2015,121.879997,121.959999,121.25,121.57,1938400,119.241461
1/21/2015,122.080002,122.110001,121.32,121.629997,1878000,119.300309
1/20/2015,121.709999,122.059998,121.629997,121.68,1648800,119.349355
1/16/2015,121.709999,121.910004,121.230003,121.400002,1322500,119.074719
1/15/2015,121.529999,122.269997,121.449997,122.080002,2171300,119.741695
1/14/2015,121.709999,121.82,121.349998,121.449997,2457000,119.123757
1/13/2015,121.129997,121.279999,120.910004,121.239998,1468300,118.91778
1/12/2015,120.940002,121.190002,120.870003,121.129997,1947800,118.809886
1/9/2015,120.419998,121.019997,120.389999,120.900002,1530400,118.584296
1/8/2015,120.650002,120.669998,120.370003,120.580002,2156900,118.270425
1/7/2015,120.639999,121.050003,120.510002,120.970001,1636600,118.652955
1/6/2015,120.650002,121.169998,120.470001,120.809998,5313400,118.496016
1/5/2015,120.190002,120.68,120.089996,120.32,3218800,118.015403
1/2/2015,119.599998,120.239998,119.550003,119.830002,2522100,117.534791
12/31/2014,119.580002,119.790001,119.309998,119.410004,1231400,117.122837
12/30/2014,119.550003,119.720001,119.300003,119.330002,1052000,117.044368
12/29/2014,119.269997,119.419998,119.110001,119.230003,826200,116.946285
12/26/2014,119.099998,119.129997,118.860001,119,499100,116.720687
12/24/2014,118.510002,118.989998,118.419998,118.910004,466200,116.632414
12/23/2014,119.599998,119.610001,118.769997,118.849998,1283500,116.257725
12/22/2014,119.559998,119.809998,119.330002,119.760002,2011400,117.14788
12/19/2014,119.190002,119.470001,119.029999,119.379997,1088400,116.776164
12/18/2014,119.25,119.510002,118.879997,119.440002,2056600,116.83486
12/17/2014,119.519997,119.889999,119.129997,119.32,1875200,116.717475
12/16/2014,119.339996,119.599998,119.139999,119.290001,2040500,116.68813
12/15/2014,119,119.489998,118.860001,119.330002,4318600,116.727259
12/12/2014,119.150002,119.629997,119,119.050003,3457700,116.453367
12/11/2014,119.050003,119.150002,118.68,118.860001,1915600,116.267509
12/10/2014,118.980003,119.269997,118.93,118.980003,2974000,116.384894
12/9/2014,119.129997,119.269997,118.900002,119.019997,1369900,116.424015
12/8/2014,118.529999,119.059998,118.419998,118.919998,1842000,116.326198
12/5/2014,118.75,118.809998,118.300003,118.360001,1118600,115.778414
12/4/2014,118.610001,119,118.580002,118.849998,2413000,116.257725
12/3/2014,118.620003,118.830002,118.550003,118.660004,5152200,116.071874
12/2/2014,118.940002,118.959999,118.540001,118.540001,1496000,115.954489
12/1/2014,119.800003,119.879997,118.949997,119.339996,6029800,116.737035
11/28/2014,119.910004,120.110001,119.910004,120.089996,1037800,117.14298
11/26/2014,119.730003,119.849998,119.660004,119.769997,978200,116.830833
11/25/2014,119,119.449997,118.949997,119.360001,2052800,116.430898
11/24/2014,118.620003,118.889999,118.599998,118.849998,1592600,115.933412
11/21/2014,118.389999,118.75,118.300003,118.660004,1820200,115.748079
11/20/2014,118.209999,118.300003,117.870003,118.150002,2040100,115.250593
11/19/2014,117.860001,118.080002,117.699997,117.699997,1890200,114.811631
11/18/2014,118.209999,118.360001,118.160004,118.330002,2002900,115.426176
11/17/2014,118.639999,118.68,118.169998,118.230003,1770100,115.328631
11/14/2014,118.25,118.709999,118.190002,118.510002,1784800,115.601759
11/13/2014,118.529999,118.559998,118.309998,118.360001,2128500,115.455438
11/12/2014,118.830002,118.980003,118.349998,118.489998,1931400,115.582245
11/11/2014,118.5,118.589996,118.400002,118.5,805600,115.592002
11/10/2014,118.980003,119,118.5,118.510002,1710500,115.601759
11/7/2014,118.5,119.120003,118.5,119.110001,1730000,116.187033
