Date,Open,High,Low,Close,Volume,Adj Close
5/28/2013,167.039993,167.779999,165.809998,166.300003,143679800,159.107425
5/24/2013,164.470001,165.380005,163.979996,165.309998,151573900,158.160238
5/23/2013,164.160004,165.910004,163.940002,165.449997,211064400,158.294182
5/22/2013,167.339996,169.070007,165.169998,165.929993,244031800,158.753418
5/21/2013,167.080002,167.800003,166.5,167.169998,95804200,159.939792
5/20/2013,166.779999,167.580002,166.610001,166.929993,85071200,159.710167
5/17/2013,165.949997,167.039993,165.729996,166.940002,129801000,159.719744
5/16/2013,165.779999,166.360001,165.089996,165.339996,109913600,158.188939
5/15/2013,164.960007,166.449997,164.910004,166.119995,120718500,158.935202
5/14/2013,163.669998,165.350006,163.669998,165.229996,119000900,158.083696
5/13/2013,163.199997,163.809998,162.820007,163.539993,81843200,156.466787
5/10/2013,162.990005,163.550003,162.509995,163.410004,103203000,156.34242
5/9/2013,163.270004,163.699997,162.470001,162.880005,106738600,155.835344
5/8/2013,162.419998,163.389999,162.330002,163.339996,97419200,156.27544
5/7/2013,162.130005,162.649994,161.669998,162.600006,90359200,155.567455
5/6/2013,161.490005,162.009995,161.419998,161.779999,66882100,154.782913
5/3/2013,161.139999,161.880005,159.779999,161.369995,144202300,154.390643
5/2/2013,158.679993,159.889999,158.529999,159.75,96407600,152.840713
5/1/2013,159.330002,159.410004,158.100006,158.279999,138874200,151.434291
4/30/2013,159.270004,159.720001,158.610001,159.679993,116010700,152.773734
4/29/2013,158.669998,159.649994,158.419998,159.300003,88572800,152.410179
4/26/2013,158.330002,158.600006,157.729996,158.240005,95918800,151.396027
4/25/2013,158.339996,159.270004,158.100006,158.520004,131060600,151.663916
4/24/2013,157.830002,158.300003,157.539993,157.880005,96781200,151.051597
4/23/2013,156.949997,157.929993,156.169998,157.779999,166141300,150.955916
4/22/2013,155.779999,156.539993,154.75,156.169998,106553500,149.415549
4/19/2013,154.5,155.550003,154.119995,155.479996,149687600,148.755389
4/18/2013,155.369995,155.410004,153.550003,154.139999,167583200,147.473349
4/17/2013,156.289993,156.320007,154.279999,155.110001,226834800,148.401397
4/16/2013,156.289993,157.490005,155.910004,157.410004,147507800,150.601923
4/15/2013,158,158.130005,155.100006,155.119995,217259000,148.410959
